id,galleryId,titleEn,titleAr,excerptEn,excerptAr,descriptionEn,descriptionAr,infoEn,infoAr,mediaUrl,mediaKind,sortOrder,isPublished,createdAt,updatedAt
cmq0tdtaa003uhf64zuhhnw5u,cmq0tdtaa003thf64ogngrgy2,Makkah,مكة,,,,,,,/images/placeholder.svg,IMAGE,0,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa003vhf64uu2qs8el,cmq0tdtaa003thf64ogngrgy2,Madinah,المدينة,,,,,,,/images/placeholder.svg,IMAGE,1,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa003whf647ty0n3pz,cmq0tdtaa003thf64ogngrgy2,Dubai,دبي,,,,,,,/images/placeholder.svg,IMAGE,2,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa003xhf64irx9evk1,cmq0tdtaa003thf64ogngrgy2,Turkey,تركيا,,,,,,,/images/placeholder.svg,IMAGE,3,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa003yhf64n1dncwya,cmq0tdtaa003thf64ogngrgy2,Maldives,المالديف,,,,,,,/images/placeholder.svg,IMAGE,4,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa003zhf64iqzxhv6a,cmq0tdtaa003thf64ogngrgy2,Europe,أوروبا,,,,,,,/images/placeholder.svg,IMAGE,5,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa0040hf640mhkq22a,cmq0tdtaa003thf64ogngrgy2,Adventure,مغامرات,,,,,,,/images/placeholder.svg,IMAGE,6,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa0041hf648ipfcrjv,cmq0tdtaa003thf64ogngrgy2,Cultural Tours,جولات ثقافية,,,,,,,/images/placeholder.svg,IMAGE,7,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa0042hf64clq25i22,cmq0tdtaa003thf64ogngrgy2,Luxury,فخامة,,,,,,,/images/placeholder.svg,IMAGE,8,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa0043hf64t0vdup9d,cmq0tdtaa003thf64ogngrgy2,Family Holidays,عطلات عائلية,,,,,,,/images/placeholder.svg,IMAGE,9,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa0044hf64q08fev4l,cmq0tdtaa003thf64ogngrgy2,Honeymoon,شهر العسل,,,,,,,/images/placeholder.svg,IMAGE,10,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
cmq0tdtaa0045hf64tbbj0oy4,cmq0tdtaa003thf64ogngrgy2,Religious Tourism,سياحة دينية,,,,,,,/images/placeholder.svg,IMAGE,11,1,2026-06-05T11:01:44.195Z,2026-06-05T11:01:44.195Z
